#  T(K)        P(GPa)                   PhaseName             G(eV/atom)
   0.00          0.00                    Rocksalt         -3.36386200
   0.00          1.00                    Rocksalt         -3.21974600
   0.00          2.00                    Rocksalt         -3.08090700
   0.00          3.00                    Rocksalt         -2.94644100
   0.00          4.00                    Rocksalt         -2.81570800
   0.00          5.00                    Rocksalt         -2.68822400
   0.00          6.00                    Rocksalt         -2.56361700
   0.00          7.00                    Rocksalt         -2.44158700
   0.00          8.00                    Rocksalt         -2.32188900
   0.00          9.00                    Rocksalt         -2.20431900
   0.00         10.00                    Rocksalt         -2.08870700
   0.00         11.00                    Rocksalt         -1.97490200
   0.00         12.00                    Rocksalt         -1.86277900
   0.00         13.00                    Rocksalt         -1.75222500
   0.00         14.00                    Rocksalt         -1.64314200
   0.00         15.00                    Rocksalt         -1.53544300
   0.00         16.00                    Rocksalt         -1.42904900
   0.00         17.00                    Rocksalt         -1.32389300
   0.00         18.00                    Rocksalt         -1.21990800
   0.00         19.00                    Rocksalt         -1.11703900
   0.00         20.00                    Rocksalt         -1.01523200
   0.00         21.00                    Rocksalt         -0.91443900
   0.00         22.00                    Rocksalt         -0.81461600
   0.00         23.00                  ICSD_43434         -0.71953000
   0.00         24.00                  ICSD_43434         -0.62661800
   0.00         25.00                  ICSD_43434         -0.53449700
   0.00         26.00                  ICSD_43434         -0.44313100
   0.00         27.00                  ICSD_43434         -0.35250400
   0.00         28.00                  ICSD_43434         -0.26258600
   0.00         29.00                  ICSD_43434         -0.17335300
   0.00         30.00                  ICSD_43434         -0.08477500
   0.00         31.00                  ICSD_43434          0.00315600
   0.00         32.00                  ICSD_43434          0.09046500
   0.00         33.00                  ICSD_43434          0.17717100
   0.00         34.00                  ICSD_43434          0.26329200
   0.00         35.00               NO_PHASE_DATA          0.00000000
   0.00         36.00               NO_PHASE_DATA          0.00000000
   0.00         37.00               NO_PHASE_DATA          0.00000000
   0.00         38.00               NO_PHASE_DATA          0.00000000
   0.00         39.00               NO_PHASE_DATA          0.00000000
   0.00         40.00               NO_PHASE_DATA          0.00000000
   0.00         41.00               NO_PHASE_DATA          0.00000000
   0.00         42.00               NO_PHASE_DATA          0.00000000
   0.00         43.00               NO_PHASE_DATA          0.00000000
   0.00         44.00               NO_PHASE_DATA          0.00000000
   0.00         45.00               NO_PHASE_DATA          0.00000000
   0.00         46.00               NO_PHASE_DATA          0.00000000
   0.00         47.00               NO_PHASE_DATA          0.00000000
   0.00         48.00               NO_PHASE_DATA          0.00000000
   0.00         49.00               NO_PHASE_DATA          0.00000000
   0.00         50.00               NO_PHASE_DATA          0.00000000
   0.00         51.00               NO_PHASE_DATA          0.00000000
   0.00         52.00               NO_PHASE_DATA          0.00000000
   0.00         53.00               NO_PHASE_DATA          0.00000000
   0.00         54.00               NO_PHASE_DATA          0.00000000
   0.00         55.00               NO_PHASE_DATA          0.00000000
   0.00         56.00               NO_PHASE_DATA          0.00000000
