#  T(K)        P(GPa)                   PhaseName             G(eV/atom)
   0.00          0.00                    Rocksalt         -4.28723400
   0.00          1.00                    Rocksalt         -4.20463100
   0.00          2.00                    Rocksalt         -4.12380500
   0.00          3.00                    Rocksalt         -4.04456500
   0.00          4.00                    Rocksalt         -3.96675900
   0.00          5.00                    Rocksalt         -3.89025900
   0.00          6.00                    Rocksalt         -3.81495800
   0.00          7.00                    Rocksalt         -3.74076400
   0.00          8.00                    Rocksalt         -3.66759900
   0.00          9.00                    Rocksalt         -3.59539300
   0.00         10.00                    Rocksalt         -3.52408700
   0.00         11.00                    Rocksalt         -3.45362600
   0.00         12.00                    Rocksalt         -3.38396300
   0.00         13.00                    Rocksalt         -3.31505500
   0.00         14.00                    Rocksalt         -3.24686300
   0.00         15.00                    Rocksalt         -3.17935300
   0.00         16.00                    Rocksalt         -3.11249100
   0.00         17.00                    Rocksalt         -3.04625000
   0.00         18.00                    Rocksalt         -2.98060100
   0.00         19.00                    Rocksalt         -2.91552100
   0.00         20.00                    Rocksalt         -2.85098700
   0.00         21.00                    Rocksalt         -2.78697600
   0.00         22.00                    Rocksalt         -2.72347100
   0.00         23.00                    Rocksalt         -2.66045100
   0.00         24.00                          B2         -2.59828200
   0.00         25.00                          B2         -2.54144400
   0.00         26.00                          B2         -2.48499400
   0.00         27.00                          B2         -2.42892100
   0.00         28.00                          B2         -2.37321300
   0.00         29.00                          B2         -2.31785900
   0.00         30.00                          B2         -2.26285100
   0.00         31.00                          B2         -2.20817700
   0.00         32.00                          B2         -2.15382800
   0.00         33.00                          B2         -2.09979500
   0.00         34.00                          B2         -2.04607100
   0.00         35.00                          B2         -1.99264800
   0.00         36.00                          B2         -1.93951700
   0.00         37.00                          B2         -1.88667100
   0.00         38.00                          B2         -1.83410500
   0.00         39.00                          B2         -1.78181000
   0.00         40.00                          B2         -1.72978100
   0.00         41.00                          B2         -1.67801100
   0.00         42.00                          B2         -1.62649700
   0.00         43.00                          B2         -1.57523000
   0.00         44.00                          B2         -1.52420700
   0.00         45.00                          B2         -1.47342100
   0.00         46.00                          B2         -1.42286900
   0.00         47.00                          B2         -1.37254600
   0.00         48.00                          B2         -1.32244600
   0.00         49.00                          B2         -1.27256500
   0.00         50.00                          B2         -1.22289900
   0.00         51.00                          B2         -1.17344500
   0.00         52.00                          B2         -1.12419800
   0.00         53.00                          B2         -1.07515400
   0.00         54.00                          B2         -1.02631100
   0.00         55.00                          B2         -0.97766300
   0.00         56.00                          B2         -0.92920800
   0.00         57.00                          B2         -0.88094300
   0.00         58.00                    Rocksalt         -0.67371100
   0.00         59.00                    Rocksalt         -0.62159900
   0.00         60.00               NO_PHASE_DATA          0.00000000
   0.00         61.00               NO_PHASE_DATA          0.00000000
   0.00         62.00               NO_PHASE_DATA          0.00000000
   0.00         63.00               NO_PHASE_DATA          0.00000000
   0.00         64.00               NO_PHASE_DATA          0.00000000
   0.00         65.00               NO_PHASE_DATA          0.00000000
   0.00         66.00               NO_PHASE_DATA          0.00000000
   0.00         67.00               NO_PHASE_DATA          0.00000000
   0.00         68.00               NO_PHASE_DATA          0.00000000
   0.00         69.00               NO_PHASE_DATA          0.00000000
   0.00         70.00               NO_PHASE_DATA          0.00000000
   0.00         71.00               NO_PHASE_DATA          0.00000000
   0.00         72.00               NO_PHASE_DATA          0.00000000
   0.00         73.00               NO_PHASE_DATA          0.00000000
   0.00         74.00               NO_PHASE_DATA          0.00000000
   0.00         75.00               NO_PHASE_DATA          0.00000000
   0.00         76.00               NO_PHASE_DATA          0.00000000
   0.00         77.00               NO_PHASE_DATA          0.00000000
   0.00         78.00               NO_PHASE_DATA          0.00000000
   0.00         79.00               NO_PHASE_DATA          0.00000000
   0.00         80.00               NO_PHASE_DATA          0.00000000
   0.00         81.00               NO_PHASE_DATA          0.00000000
   0.00         82.00               NO_PHASE_DATA          0.00000000
   0.00         83.00               NO_PHASE_DATA          0.00000000
   0.00         84.00               NO_PHASE_DATA          0.00000000
   0.00         85.00               NO_PHASE_DATA          0.00000000
   0.00         86.00               NO_PHASE_DATA          0.00000000
   0.00         87.00               NO_PHASE_DATA          0.00000000
   0.00         88.00               NO_PHASE_DATA          0.00000000
   0.00         89.00               NO_PHASE_DATA          0.00000000
   0.00         90.00               NO_PHASE_DATA          0.00000000
   0.00         91.00               NO_PHASE_DATA          0.00000000
   0.00         92.00               NO_PHASE_DATA          0.00000000
   0.00         93.00               NO_PHASE_DATA          0.00000000
   0.00         94.00               NO_PHASE_DATA          0.00000000
   0.00         95.00               NO_PHASE_DATA          0.00000000
   0.00         96.00               NO_PHASE_DATA          0.00000000
   0.00         97.00               NO_PHASE_DATA          0.00000000
   0.00         98.00               NO_PHASE_DATA          0.00000000
   0.00         99.00               NO_PHASE_DATA          0.00000000
   0.00        100.00               NO_PHASE_DATA          0.00000000
  10.00          0.00                    Rocksalt         -4.28723400
  10.00          1.00                    Rocksalt         -4.20463100
  10.00          2.00                    Rocksalt         -4.12380500
  10.00          3.00                    Rocksalt         -4.04456600
  10.00          4.00                    Rocksalt         -3.96676000
  10.00          5.00                    Rocksalt         -3.89026000
  10.00          6.00                    Rocksalt         -3.81495800
  10.00          7.00                    Rocksalt         -3.74076400
  10.00          8.00                    Rocksalt         -3.66759900
  10.00          9.00                    Rocksalt         -3.59539300
  10.00         10.00                    Rocksalt         -3.52408700
  10.00         11.00                    Rocksalt         -3.45362600
  10.00         12.00                    Rocksalt         -3.38396300
  10.00         13.00                    Rocksalt         -3.31505500
  10.00         14.00                    Rocksalt         -3.24686300
  10.00         15.00                    Rocksalt         -3.17935300
